run,accuracy,macro_f1
signal_only__RandomForest__source_validation,0.9971870604781997,0.9972372990270895
signal_only__RandomForest__target_test_ZEROSHOT,0.8176614881439084,0.8512069648986271
signal_only__SVM_RBF__source_validation,0.9381153305203939,0.9519410140499747
signal_only__SVM_RBF__target_test_ZEROSHOT,0.8168438266557645,0.6425054317777881
signal_plus_condition__RandomForest__source_validation,0.9957805907172996,0.9960918539168823
signal_plus_condition__RandomForest__target_test_ZEROSHOT,0.8176614881439084,0.851571950963306
signal_plus_condition__SVM_RBF__source_validation,0.9451476793248945,0.9570782239512127
signal_plus_condition__SVM_RBF__target_test_ZEROSHOT,0.6255110384300899,0.5062063266043662
